Ticker,last_date,current_price,horizon,ml_pred,mc_p5,mc_median,mc_p95,mu,sigma
A32,2025-11-17,32.9,1d,32.83834587194708,31.88815637679227,32.84216847064465,33.87350778733656,-0.0015007713447463896,0.01855429098940646
A32,2025-11-17,32.9,3d,32.757886083735116,31.062336169265997,32.73762780428291,34.51876351206258,-0.0015007713447463896,0.01855429098940646
A32,2025-11-17,32.9,7d,32.79458849184241,30.009569417215594,32.54022572737479,35.293838211877386,-0.0015007713447463896,0.01855429098940646
A32,2025-11-17,32.9,30d,32.90748129484066,26.547692218831997,31.451003103430047,37.140493517494306,-0.0015007713447463896,0.01855429098940646
AAA,2025-11-17,8.05,1d,8.034496135735576,7.805884223083132,8.051350345538147,8.305503310638638,3.2959746043559333e-18,0.01890835145011404
AAA,2025-11-17,8.05,3d,8.045958588247945,7.62483047967422,8.052981764924573,8.496036199450614,3.2959746043559333e-18,0.01890835145011404
AAA,2025-11-17,8.05,7d,8.119945232116322,7.407668726425164,8.047805860857995,8.730625777475922,3.2959746043559333e-18,0.01890835145011404
AAA,2025-11-17,8.05,30d,8.315860119273326,6.77629359247184,8.053178841402675,9.569957224575903,3.2959746043559333e-18,0.01890835145011404
AAH,2025-11-17,3.6,1d,3.6745319103946166,3.428625770745211,3.5889000259082504,3.755819638059302,-0.002961352953957544,0.027895403946427054
AAH,2025-11-17,3.6,3d,3.6863281202583624,3.292182863017972,3.5669265466930424,3.8652510893441736,-0.002961352953957544,0.027895403946427054
AAH,2025-11-17,3.6,7d,3.6966966835901203,3.123212189612838,3.524751139070265,3.9874575922491475,-0.002961352953957544,0.027895403946427054
AAH,2025-11-17,3.6,30d,3.7592988675104495,2.5704276832361503,3.294603972740026,4.252788189332056,-0.002961352953957544,0.027895403946427054
AAM,2025-11-17,6.9,1d,6.865454947488447,6.744582383982199,6.892530740202208,7.045204766515465,-0.0009163689069558839,0.013341420867578968
AAM,2025-11-17,6.9,3d,6.8960606687798975,6.626031933866712,6.882820686428646,7.151454636370581,-0.0009163689069558839,0.013341420867578968
AAM,2025-11-17,6.9,7d,6.917336776494676,6.470108546105215,6.855150922886672,7.259218754610747,-0.0009163689069558839,0.013341420867578968
AAM,2025-11-17,6.9,30d,7.034067109268987,5.944507461153935,6.718100694225606,7.555377937371335,-0.0009163689069558839,0.013341420867578968
AAS,2025-11-17,8.9,1d,8.912299385852561,8.182617714115331,8.794762053242641,9.470576110454465,-0.011552453009332416,0.04510822101490115
AAS,2025-11-17,8.9,3d,8.789435603096448,7.556466813122936,8.594930636407902,9.782402272047579,-0.011552453009332416,0.04510822101490115
AAS,2025-11-17,8.9,7d,8.865511460962306,6.740575010265229,8.21790347204881,9.979482545837648,-0.011552453009332416,0.04510822101490115
AAS,2025-11-17,8.9,30d,9.193698905454097,4.195302714730048,6.30500988485804,9.456462506035196,-0.011552453009332416,0.04510822101490115
AAT,2025-11-17,3.48,1d,3.434519994269486,3.375809209486058,3.4808121250223407,3.585618720629689,0.0002412005434755706,0.018545031090689428
AAT,2025-11-17,3.48,3d,3.4124364572185266,3.303042016663265,3.4819899432492813,3.671618290176629,0.0002412005434755706,0.018545031090689428
AAT,2025-11-17,3.48,7d,3.4182648448142747,3.210358983831693,3.4843378688881916,3.78175774846555,0.0002412005434755706,0.018545031090689428
AAT,2025-11-17,3.48,30d,3.472411863071774,2.9607593583130063,3.5058254833195743,4.160450672639623,0.0002412005434755706,0.018545031090689428
AAV,2025-11-17,6.5,1d,6.447668152619634,6.250160081923494,6.505850410580968,6.771844816931983,0.0007875480808424305,0.024115553146616227
AAV,2025-11-17,6.5,3d,6.575924910539686,6.08327621924558,6.517393771523766,6.9853876156471895,0.0007875480808424305,0.024115553146616227
AAV,2025-11-17,6.5,7d,6.558801325658965,5.891932819705032,6.544053881210445,7.2570184058292115,0.0007875480808424305,0.024115553146616227
AAV,2025-11-17,6.5,30d,6.781426401126101,5.348476212241822,6.649901261741791,8.226682107861457,0.0007875480808424305,0.024115553146616227
ABB,2025-11-17,14.8,1d,14.776263875640021,14.240852845725431,14.824337703873672,15.42941120529202,0.0010456390105570623,0.02436923012773746
ABB,2025-11-17,14.8,3d,14.745582563963854,13.852674608707307,14.84596376194907,15.946909564816474,0.0010456390105570623,0.02436923012773746
ABB,2025-11-17,14.8,7d,14.749051712579076,13.378579403840956,14.88289441304677,16.584154237217376,0.0010456390105570623,0.02436923012773746
