Ticker,last_date,current_price,rating_group,ml_var5_price_1q,ml_min_price_1q,ml_var5_price_2q,ml_min_price_2q,breakeven_price_rating_1q,breakeven_price_rating_2q,mc_min_p5_1q,mc_min_p3_1q,mc_min_p1_1q,mc_min_p01_1q,mc_min_p5_2q,mc_min_p3_2q,mc_min_p1_2q,mc_min_p01_2q,dd_q05_1q,dd_q03_1q,dd_q01_1q,dd_q001_1q,dd_q05_2q,dd_q03_2q,dd_q01_2q,dd_q001_2q
A32,2025-11-17,32.9,B,26.101809355069612,15.573937076705539,23.22321368257768,13.126602448524764,12.72910713692088,10.789458654286719,15.304405810719404,11.905055115755799,7.63231524827497,2.1637931456982975,14.984323058678752,11.026263682779456,7.245045868253308,2.391909221925664,-0.20663193449636427,-0.22619409502000723,-0.32941608715311765,-0.5266280523797708,-0.294127243690648,-0.3441058568822664,-0.44540994410230134,-0.6010151231451439
AAA,2025-11-17,8.05,B,5.0295394409453404,3.7712200410279584,4.671834123104247,2.6514934882740238,2.4441002328511114,2.286916319664325,7.196675369897966e-18,1.1537388718854423e-18,1.0225091226066518e-19,2.09260782206629e-22,1.2215842513218772e-32,8.46651023224335e-34,8.474905363160869e-36,1.509314104251962e-38,-0.3752124918080323,-0.392770128484196,-0.41829166617185826,-0.5315254607418686,-0.4196479350181059,-0.4318220323815342,-0.5383353025000591,-0.6706219269224816
AAH,2025-11-17,3.6,B,2.352494937188389,1.5107259607265042,1.9529818259822893,1.0941374047491095,1.0741057554902012,0.8729763022755926,8.887729407156552e-39,1.3521723602196066e-39,3.809013596353421e-41,1.222755875847287e-43,4.5936247181645634e-73,1.5759712607220138e-74,9.636843910054543e-77,7.659208949952544e-80,-0.34652918411433636,-0.40327458028322166,-0.48254879414960994,-0.5803538997981933,-0.45750504833825306,-0.5150131654024486,-0.543988549949798,-0.6960729431252474
AAM,2025-11-17,6.9,B,5.536328290852476,3.2850742203294194,5.0570000694682715,2.35748125173291,2.658627293365959,2.3608110655550187,1.7374060581858569e-19,1.0974012316415198e-20,1.401588095866289e-22,2.8226887494963195e-25,1.7734613616967477e-34,7.75985107857674e-36,1.4984442960445626e-38,1.672004210032621e-42,-0.19763358103587308,-0.22938339322725831,-0.29756758013741963,-0.5239022869087798,-0.26710143920749696,-0.31570693752028445,-0.4008218525582736,-0.6583360504734913
AAS,2025-11-17,8.9,B,5.862406011399574,3.736926309883975,5.165930790105489,3.0171866851631433,2.834529667453081,2.4123678996004054,1.2182753236821538e-05,1.8718221011659135e-06,8.771375720501699e-08,4.481488592143514e-11,1.990607420002724e-07,1.5657745110465033e-08,1.3362624246740479e-10,7.137088678845415e-14,-0.34130269534836255,-0.36302704102177946,-0.4303339120632902,-0.5801206393388793,-0.41955833819039456,-0.4578948540223809,-0.5186078988688562,-0.6609902600940288
AAT,2025-11-17,3.48,B,2.5834582933677477,1.5275214976569773,2.395212490956158,1.2087078884909372,1.2046633111821847,1.134517378770467,7.663999448638367e-43,1.666919741451919e-43,6.90919659579495e-45,5.534808174748869e-47,6.660750440601999e-82,5.628101440043803e-83,2.2722659862410848e-85,1.945874133977802e-88,-0.257626927193176,-0.3076647636883996,-0.36953450217056655,-0.5610570409031674,-0.3117205485758168,-0.34797851794800755,-0.4215827515030205,-0.6526701469853629
AAV,2025-11-17,6.5,B,4.510686492248302,2.885765382951913,3.9074746916908234,1.828066089361309,2.1717100565429344,1.7060725947293256,9.252189235190185e-23,1.2983611428540628e-23,1.0475103557264592e-25,3.071269997607314e-29,5.114847500448791e-41,3.58592377534145e-42,1.4045681264426218e-44,9.665190438113653e-52,-0.3060482319617996,-0.3317815210637125,-0.414918417754649,-0.5560360949304749,-0.39885004743218105,-0.4750545862371306,-0.5359636914821015,-0.7187590631751832
ABB,2025-11-17,14.8,B,10.103443550531814,7.198807609170927,8.984284726423105,6.834544902965326,4.9775201912928795,4.146608555953974,2.0850314199864636e-08,3.863393007647247e-09,1.3786348435890519e-10,1.618867063144233e-12,1.2541221728752073e-13,1.0061806391093284e-14,9.485055780491419e-17,2.2850910658849737e-20,-0.3173348952343369,-0.327362136311773,-0.47158255259862447,-0.5135940804614239,-0.39295373470114164,-0.43964749243865214,-0.4815251187401148,-0.5382064254753158
ABC,2025-11-17,11.6,B,8.74247777010084,6.059412927283218,7.899941772677739,4.53143214020916,4.185129723293845,3.761326042454756,7.295170191977213e-08,1.634403277107252e-08,5.715046661901924e-10,3.082094315649313e-12,1.7764558185539064e-12,2.5888454074530793e-13,2.5725907035994813e-15,7.319496939917159e-20,-0.24633812326716903,-0.27842590977692316,-0.34507565908937604,-0.4776368166135157,-0.3189705368381259,-0.3514955099215937,-0.4049868413349014,-0.609359298257831
ABI,2025-11-17,20.2,B,14.863840698183841,8.641878483623326,14.483513638354694,7.544508814560624,7.319980347363325,7.021576774672158,0.5423413270274301,0.18054464643841106,0.050252597351553456,0.0014711933573465725,0.4286845865036324,0.1507417875446044,0.03736417275626055,0.0013129399966102183,-0.2641663020701068,-0.2752494705580865,-0.32138243601417726,-0.5721842334839937,-0.28299437433887653,-0.30479437874533083,-0.38643286458122594,-0.6265094646257117
