Ticker,last_date,current_price,rating_group,ml_var5_price_1q,ml_min_price_1q,ml_var5_price_2q,ml_min_price_2q,breakeven_price_rating_1q,breakeven_price_rating_2q,mc_min_p5_1q,mc_min_p3_1q,mc_min_p1_1q,mc_min_p01_1q,mc_min_p5_2q,mc_min_p3_2q,mc_min_p1_2q,mc_min_p01_2q,dd_q05_1q,dd_q03_1q,dd_q01_1q,dd_q001_1q,dd_q05_2q,dd_q03_2q,dd_q01_2q,dd_q001_2q
A32,2025-11-17,32.9,B,25.530896884202956,17.853694343566893,23.42293942570686,15.655897921323776,12.12836158722639,10.954357841610909,14.328000317258251,10.695956085030964,7.026906457532824,2.338439865567792,15.32769255058445,11.976144063674095,8.07968018646863,4.070703550691457,-0.22398489713668823,-0.26271358132362366,-0.3430054485797882,-0.4573345184326172,-0.28805655241012573,-0.33408159017562866,-0.4059731364250183,-0.5241368412971497
AAA,2025-11-17,8.05,B,5.260608710348607,4.187571728229523,4.620583651959897,2.8470497459173205,2.524180863797665,2.1835151948034763,9.478321634370534e-18,1.5565372713710368e-18,6.314837034158152e-20,4.553433230706584e-22,6.206273164348616e-33,9.51299574555314e-34,1.7873412574490577e-35,9.474506495570912e-39,-0.3465082347393036,-0.37287431955337524,-0.4343322217464447,-0.47980475425720215,-0.4260144531726837,-0.4575117528438568,-0.5364027619361877,-0.6463292241096497
AAH,2025-11-17,3.6,B,2.3411182880401613,1.5095159053802492,1.964738166332245,1.091433334350586,1.094046986103058,0.8802165627479553,2.810233118892966e-38,3.60591001781139e-39,8.252232525648444e-41,4.009196490318238e-43,5.2256789639935366e-73,1.6453557763280541e-74,1.4922117437065612e-77,1.8481779360173366e-82,-0.3496893644332886,-0.3921961188316345,-0.4804876744747162,-0.5806900262832642,-0.4542393982410431,-0.5109907984733582,-0.5717816352844238,-0.6968240737915039
AAM,2025-11-17,6.9,B,5.34439349770546,3.745674169063568,4.842994263768197,3.2164974153041843,2.5625740349292756,2.24122384339571,2.385871084983031e-19,3.3941853612205834e-20,2.44152933584954e-22,4.352712153624388e-25,2.1585622890381467e-34,1.1842289069060808e-35,3.0723719919860377e-38,5.143989303987362e-41,-0.22545021772384644,-0.2572249174118042,-0.34446221590042114,-0.4571486711502075,-0.2981167733669281,-0.3503699004650116,-0.42437395453453064,-0.5338409543037415
AAS,2025-11-17,8.9,B,5.859161874651909,4.230126094818115,5.179107344150544,3.169918292760849,2.785719835758209,2.4149775683879855,1.2010588603879172e-05,1.330770001862837e-06,2.984991853838205e-08,2.6171504955195424e-10,3.21486199042931e-07,1.4917629831693315e-08,1.7897811762211368e-10,7.039147473558356e-15,-0.34166720509529114,-0.3739955425262451,-0.4343777596950531,-0.5247049331665039,-0.41807782649993896,-0.45730841159820557,-0.5325307250022888,-0.6438294053077698
AAT,2025-11-17,3.48,B,2.5987774193286897,1.8036390817165375,2.2339145815372468,1.4776368498802186,1.2293707126379012,1.0537362724542618,1.0192225963625307e-42,1.6523416599928817e-43,2.3983745177385528e-45,2.5749070778187607e-47,1.1289393153985295e-81,5.432823119315221e-83,1.7792958322697792e-85,3.1444869033546154e-88,-0.2532248795032501,-0.29346510767936707,-0.36228665709495544,-0.4817129075527191,-0.3580705225467682,-0.39440444111824036,-0.4587840139865875,-0.5753917098045349
AAV,2025-11-17,6.5,B,4.322915464639664,3.0408609211444855,3.710561126470566,2.163099467754364,2.029654271900654,1.7321275472640991,1.4313837323427445e-22,1.710978008105322e-23,2.1301456014708264e-25,1.3044979899278234e-29,1.9535212748661186e-40,8.40543552455672e-42,3.4300737068899183e-44,3.2856194446432235e-47,-0.33493608236312866,-0.3754909932613373,-0.437388151884079,-0.5321752429008484,-0.4291444420814514,-0.4670376777648926,-0.5438492894172668,-0.6672154664993286
ABB,2025-11-17,14.8,B,9.714558935165405,6.815762591362,9.111898291110993,6.702998399734497,4.699441003799438,4.232456600666047,2.4563602463210383e-08,5.460951384925748e-09,2.291888442367529e-10,1.3145471814135126e-12,1.954314481559032e-13,1.363959780626618e-14,1.2852618675718632e-16,2.5466161202210045e-19,-0.34361088275909424,-0.3649404048919678,-0.421576589345932,-0.5394755005836487,-0.38433119654655457,-0.42804640531539917,-0.5167071223258972,-0.5470947027206421
ABC,2025-11-17,11.6,B,8.624887907505036,6.076369535923004,7.674350428581238,5.230680823326111,4.109906357526779,3.66141642332077,6.286987029368584e-08,1.510864250741333e-08,5.092132121596469e-10,1.8605085358096314e-11,1.4027723239512081e-12,1.051601822295958e-13,1.1159924304624697e-15,2.886409559189521e-20,-0.25647518038749695,-0.2913954555988312,-0.361221581697464,-0.4761750400066376,-0.33841806650161743,-0.3687213063240051,-0.43002554774284363,-0.5490792393684387
ABI,2025-11-17,20.2,B,15.065234416723252,10.707113736867905,13.821799373626709,8.929532408714294,7.221850103139877,6.5855312049388885,0.5216954670037277,0.26521037771901923,0.05904587820755197,0.002995824646731677,0.5193026966755477,0.24745799164208812,0.03662736213550955,0.002126444300120559,-0.25419631600379944,-0.2849653363227844,-0.34040960669517517,-0.46994486451148987,-0.3157525062561035,-0.3479672074317932,-0.40395447611808777,-0.5579439401626587
