Ticker,current_price,last_date,mc_price_q05_1q,mc_price_q03_1q,mc_price_q01_1q,mc_price_q001_1q,mc_dd_q05_1q,mc_dd_q03_1q,mc_dd_q01_1q,mc_dd_q001_1q,mc_price_q05_2q,mc_price_q03_2q,mc_price_q01_2q,mc_price_q001_2q,mc_dd_q05_2q,mc_dd_q03_2q,mc_dd_q01_2q,mc_dd_q001_2q
A32,32.9,2025-11-17,19.124969363402567,18.00203844135546,16.022126042563343,13.019907924931992,-0.4186939403221104,-0.4528255792901076,-0.5130052874600808,-0.604258117783222,15.051020145477892,13.74736331339067,11.671071873790561,8.723716797990491,-0.5425221840280277,-0.5821470117510434,-0.6452561740489191,-0.7348414347115353
AAA,8.05,2025-11-17,5.986426934631029,5.791886248313413,5.434918120755459,4.852820786376498,-0.2563444801700585,-0.2805110250542344,-0.3248548918316201,-0.39716511970478297,5.252519201662385,4.999027187739347,4.571536455496105,3.89983622613042,-0.3475131426506355,-0.37900283382119926,-0.4321072726091796,-0.5155482948906311
AAH,3.6,2025-11-17,2.053357727640571,1.9287063744947535,1.7095986240149115,1.3792057839182703,-0.42962285343317475,-0.4642482293070129,-0.5251114933291913,-0.616887282244925,1.6024700606599898,1.4590382453794586,1.2316016607171092,0.9112518287213379,-0.5548694275944472,-0.594711598505706,-0.6578884275785808,-0.7468744920218506
AAM,6.9,2025-11-17,5.014554395096677,4.839165935358985,4.518539576107751,3.9992526067314738,-0.273252986217873,-0.2986716035711616,-0.3451391918684419,-0.4203981729374676,4.355332845693124,4.129249626821289,3.7500157934586467,3.159786999718126,-0.36879234120389504,-0.401558025098364,-0.4565194502233846,-0.5420598551133151
AAS,8.9,2025-11-17,4.923068939596875,4.60842033513845,4.058073403513301,3.235650782088878,-0.4468461865621489,-0.4821999623439944,-0.5440366962344605,-0.6364437323495643,3.790364646820213,3.43347494080649,2.871562786069292,2.089976749867717,-0.5741163318179536,-0.6142162987857877,-0.6773524959472705,-0.7651711517002565
AAT,3.48,2025-11-17,2.7144321223381405,2.6402398263351476,2.5030433183748997,2.27613374296435,-0.21999076944306306,-0.24131039473127935,-0.28073467862790236,-0.3459385796079455,2.4323832804616043,2.3335208647827748,2.1649339235164367,1.8947436922803411,-0.3010392872236769,-0.32944802736127166,-0.3778925507136677,-0.4555334217585226
AAV,6.5,2025-11-17,4.166635882379557,3.9650023510224495,3.6038197299211396,3.040143297710356,-0.35897909501852965,-0.38999963830423856,-0.4455661953967478,-0.5322856465060991,3.423761770923245,3.178699024506283,2.779448142607756,2.189451570838325,-0.4732674198579623,-0.5109693808451872,-0.5723925934449605,-0.6631612967941038
ABB,14.8,2025-11-17,10.1764857865747,9.760090500122203,9.005680450321103,7.803680984487405,-0.312399609015223,-0.34053442566741876,-0.3915080776810066,-0.4727242578049051,8.625182148928305,8.102179138068292,7.236119786108489,5.918723667139343,-0.41721742236970916,-0.4525554636440343,-0.5110729874251021,-0.6000862387068011
ABC,11.6,2025-11-17,7.199342621210805,6.826293209200261,6.1615441868857275,5.133948087787575,-0.37936701541286155,-0.41152644748273604,-0.4688323976822648,-0.5574182682941746,5.831928003645498,5.385347533841126,4.663222110785122,3.6101984455740173,-0.4972475858926295,-0.5357459022550752,-0.5979980938978343,-0.6887759960712054
ABI,20.2,2025-11-17,12.884302346279664,12.253988358314778,11.125835078726201,9.367771280679904,-0.36216325018417506,-0.39336691295471393,-0.4492160852115742,-0.5362489465009949,10.563886459544408,9.799602548397878,8.555883032096522,6.721731368215533,-0.4770353237849303,-0.514871160970402,-0.5764414340546276,-0.6672410213754687
ABR,13.4,2025-11-17,8.137973960664644,7.697634354312072,6.915728067296072,5.7147266960272285,-0.392688510398161,-0.4255496750513379,-0.48390089050029317,-0.5735278585054306,6.529417603005258,6.00761496662474,5.168092914483498,3.954751485004124,-0.5127300296264733,-0.5516705248787508,-0.6143214242922763,-0.7048692921638713
ABS,3.15,2025-11-17,2.234183473018618,2.1501931398500758,1.9972561021687807,1.751336675102517,-0.2907354053909149,-0.31739900322219816,-0.36595044375594266,-0.4440201031420581,1.9197214769132986,1.812682795146411,1.6341502435769522,1.3590727790287953,-0.3905646105037147,-0.42454514439796476,-0.48122214489620563,-0.5685483241178427
ABT,70.2,2025-11-17,50.96929803481155,49.18140730164701,45.91347357894013,40.62220130402844,-0.2739416234357329,-0.2994101523981907,-0.3459619148299128,-0.4213361637602787,44.25027647572256,41.94661450880839,38.08329971082825,32.07292967694491,-0.3696541812575135,-0.4024698787919033,-0.4575028531221047,-0.5431206598725797
ABW,10.7,2025-11-17,6.897722697906862,6.568054818153881,5.976989493758249,5.053012544059514,-0.35535301888720916,-0.38616310110711394,-0.44140285105063093,-0.5277558370037838,5.682054342598621,5.280320970608715,4.624970264889987,3.654266248943929,-0.46896688386928764,-0.5065120588216154,-0.5677597883280385,-0.6584797898183243
ACB,25.15,2025-11-17,18.827543287271926,18.229203267598916,17.13010705916281,15.334312234627191,-0.2513899289355098,-0.27518078458851225,-0.318882423094918,-0.3902857958398731,16.567881874979804,15.785798261779858,14.464843031461285,12.38355539811894,-0.3412373011936459,-0.37233406513797773,-0.4248571359259926,-0.5076121114068015
ACC,13.35,2025-11-17,11.720361731908035,11.551391890122558,11.232862047762438,10.68721230049641,-0.12207028225407979,-0.1347271992417559,-0.15858711252715818,-0.1994597527718044,11.065567686242819,10.8275678798418,10.410357885018064,9.70797859693658,-0.17111852537506977,-0.18894622622907864,-0.22019791123460197,-0.2728105919897692
ACE,42.9,2025-11-17,28.059541845504043,26.7617513335468,24.429458768133934,20.76786619524178,-0.34593142551272626,-0.3761829525979766,-0.4305487466635447,-0.5159005548894691,23.2628424995032,21.67056727213018,19.064297049559933,15.180737133931034,-0.45774259907917947,-0.4948585717452172,-0.5556107913855494,-0.6461366635447312
ACG,35.85,2025-11-17,29.826924117637358,29.22121756564085,28.089329643768426,26.181101944107315,-0.16800769546339311,-0.18490327571434173,-0.2164761605643396,-0.2697042693414975,27.500109060296364,26.668197135633328,25.228045148734964,22.857218115964137,-0.23291188116328143,-0.2561172347103674,-0.2962888382500708,-0.3624206941153658
ACL,13.25,2025-11-17,10.262448427003063,9.974096156464604,9.441485408553753,8.562440484514196,-0.2254755904148632,-0.24723802592719968,-0.2874350635053772,-0.35377807664043803,9.167495667146104,8.784530461409279,8.132547395163868,7.090682517058374,-0.308113534555011,-0.3370165689502431,-0.3862228381008401,-0.4648541496559717
ACM,0.5,2025-11-17,0.17286834729155412,0.15355553684308593,0.12223517849682551,0.08142767340047573,-0.6542633054168918,-0.6928889263138281,-0.755529643006349,-0.8371446531990485,0.1081516304658501,0.09057311068526959,0.06573261132760073,0.037178658646451285,-0.7836967390682998,-0.8188537786294608,-0.8685347773447986,-0.9256426827070974
ACS,4.7,2025-11-17,1.9889484552842174,1.8070276265804717,1.5022740023802292,1.0811843189394534,-0.5768194775991027,-0.615526036897772,-0.6803672335361215,-0.7699607832043716,1.3605144681420047,1.178500163275011,0.909087119952188,0.5730820692019043,-0.7105288365655309,-0.7492552844095721,-0.806577208520811,-0.8780676448506587
ACV,54.8,2025-11-17,40.659580539810634,39.328271464696265,36.886314358899476,32.9069815459791,-0.25803685146330957,-0.2823308126880243,-0.32689207374271023,-0.3995076360222791,35.63903257055461,33.90615903263512,30.985368386168957,26.400368147782775,-0.34965269031834645,-0.38127447020738836,-0.4345735695954569,-0.5182414571572487
ADC,20.2,2025-11-17,13.091496132710812,12.47322470044774,11.363757342768826,9.626658634722904,-0.3519061320440192,-0.38251362869070593,-0.43743775530847395,-0.5234327408553017,10.809651073312986,10.054337576662428,8.820660624956256,6.989319053008409,-0.4648687587468818,-0.5022605160068105,-0.5633336324279081,-0.6539941062867124
ADG,9.3,2025-11-17,6.354417235824684,6.09011624465872,5.61176009420798,4.851016841420476,-0.3167293294812168,-0.34514879089691186,-0.3965849361066688,-0.47838528586876605,5.370745549338458,5.03976215619425,4.492478496554003,3.6621506599380145,-0.42250047856575723,-0.45809009073180107,-0.5169377960694621,-0.6062203591464501
ADP,23.45,2025-11-17,19.663119861554822,19.28059734443186,18.56486018444295,17.355416694731677,-0.16148742594648946,-0.17779968680461145,-0.20832152731586573,-0.25989694265536556,18.19179683143428,17.66448315421865,16.749976446842428,15.239584062981157,-0.22423041230557428,-0.2467171362806545,-0.2857152901133293,-0.350124346994407
